Geslacht;Leeftijd;Vervoerwijzen;Reismotieven;Marges;Perioden;Ritten per persoon per dag (gemiddeld) (aantal);Afgelegde afstand per rit (gemiddeld) (km);Reisduur per rit (Minuten)
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.01;   12.82;   29.69
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.01;   13.16;   29.35
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.01;   11.64;   27.59
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.01;    9.25;   25.31
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.01;   10.30;   26.27
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.01;   10.88;   26.78
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.01;   11.35;   27.15
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;1999*;    0.03;   16.92;   45.59
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2003*;    0.03;   18.17;   46.27
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2007*;    0.03;   18.71;   48.66
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2011*;    0.03;   18.53;   47.64
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2015*;    0.03;   19.24;   48.36
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2019*;    0.03;   19.79;   45.64
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2020*;    0.02;   13.23;   47.70
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2021*;    0.03;   14.51;   51.29
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2022*;    0.03;   15.29;   44.99
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Vrije tijd;Waarde;2023*;    0.02;   15.77;   43.95
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;1999*;    0.02;   27.23;   31.90
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2003*;    0.02;   27.19;   31.94
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2007*;    0.02;   20.26;   29.84
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2011*;    0.02;   21.84;   29.93
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2015*;    0.01;   21.00;   29.59
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2019*;    0.01;   17.78;   29.11
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2020*;    0.01;   17.38;   26.22
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2021*;    0.02;   15.13;   26.77
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2022*;    0.02;   14.85;   25.86
Totaal mannen en vrouwen;Totaal;Overige vervoerwijze;Overige reismotieven;Waarde;2023*;    0.01;   15.37;   25.60
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;1999*;    4.04;   11.83;   23.69
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2003*;    3.89;   11.92;   23.62
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2007*;    3.75;   11.69;   23.60
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2011*;    3.65;   11.68;   23.38
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2015*;    3.56;   11.73;   23.51
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2019*;    3.44;   11.75;   23.35
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2020*;    2.66;   10.22;   23.56
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2021*;    2.81;   10.54;   24.92
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2022*;    3.13;   10.69;   24.04
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Totaal;Waarde;2023*;    3.24;   11.00;   23.92
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;1999*;    0.94;   12.61;   22.51
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2003*;    0.90;   12.51;   22.33
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2007*;    0.87;   12.44;   22.44
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2011*;    0.84;   12.17;   22.00
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2015*;    0.79;   12.23;   21.87
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2019*;    0.77;   12.04;   21.81
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2020*;    0.55;   10.97;   20.55
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2021*;    0.54;   11.43;   21.21
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2022*;    0.62;   11.79;   21.82
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Van en naar het werk;Waarde;2023*;    0.66;   11.93;   22.23
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;1999*;    0.62;    5.69;   15.25
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2003*;    0.58;    5.86;   15.14
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2007*;    0.52;    5.91;   15.03
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2011*;    0.49;    5.79;   14.83
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2015*;    0.47;    5.66;   14.82
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2019*;    0.43;    5.76;   14.62
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2020*;    0.45;    4.46;   12.80
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2021*;    0.46;    4.53;   13.37
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2022*;    0.47;    4.93;   13.77
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Winkelen, boodschappen doen;Waarde;2023*;    0.46;    5.28;   14.28
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.58;   13.00;   23.07
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.59;   13.17;   23.27
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.67;   12.37;   22.81
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.72;   11.93;   22.37
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.75;   11.99;   22.39
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.76;   11.67;   22.16
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.39;   11.89;   22.87
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.42;   11.56;   22.88
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.55;   11.46;   23.02
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.62;   11.47;   23.15
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;1999*;    1.37;   12.04;   28.73
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2003*;    1.32;   12.44;   28.72
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2007*;    1.26;   12.56;   28.88
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2011*;    1.20;   12.92;   28.87
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2015*;    1.22;   13.12;   29.07
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2019*;    1.16;   13.32;   28.76
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2020*;    0.97;   11.30;   31.63
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2021*;    1.07;   11.83;   33.83
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2022*;    1.17;   11.76;   30.71
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Vrije tijd;Waarde;2023*;    1.19;   12.15;   29.76
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;1999*;    0.52;   15.84;   23.29
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2003*;    0.50;   14.98;   22.65
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2007*;    0.44;   13.54;   22.10
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2011*;    0.40;   13.65;   22.03
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2015*;    0.33;   13.41;   21.85
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2019*;    0.32;   13.60;   21.94
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2020*;    0.30;   11.90;   19.97
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2021*;    0.32;   11.90;   20.55
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2022*;    0.32;   11.73;   20.73
Totaal mannen en vrouwen;18 tot 25 jaar;Totaal;Overige reismotieven;Waarde;2023*;    0.31;   12.24;   21.10
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;1999*;    0.96;   15.85;   23.93
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2003*;    0.95;   16.41;   24.37
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2007*;    0.87;   16.96;   24.96
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2011*;    0.80;   17.64;   25.45
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2015*;    0.75;   18.13;   25.85
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2019*;    0.72;   18.73;   26.22
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2020*;    0.63;   16.56;   24.18
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2021*;    0.63;   17.41;   25.25
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2022*;    0.65;   17.81;   25.76
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Totaal;Waarde;2023*;    0.66;   17.99;   25.99
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;1999*;    0.27;   18.17;   25.90
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2003*;    0.27;   18.56;   26.21
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2007*;    0.26;   19.46;   26.93
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2011*;    0.25;   20.00;   27.17
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2015*;    0.24;   20.59;   27.39
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2019*;    0.22;   20.96;   27.62
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2020*;    0.19;   18.69;   25.05
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2021*;    0.19;   19.36;   25.72
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2022*;    0.20;   20.33;   27.09
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Van en naar het werk;Waarde;2023*;    0.20;   20.59;   27.84
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;1999*;    0.15;    7.21;   14.94
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2003*;    0.14;    7.52;   15.04
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2007*;    0.12;    7.82;   15.23
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2011*;    0.11;    8.22;   15.48
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2015*;    0.10;    8.40;   15.70
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2019*;    0.09;    8.93;   15.91
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2020*;    0.10;    7.42;   13.81
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2021*;    0.10;    7.75;   14.41
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2022*;    0.09;    8.24;   15.00
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Winkelen, boodschappen doen;Waarde;2023*;    0.09;    8.59;   15.48
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.05;   21.53;   30.02
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.06;   22.75;   31.59
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;    0.05;   23.65;   33.07
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.05;   24.48;   34.20
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;    0.05;   25.28;   35.14
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.05;   26.21;   36.10
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.04;   24.84;   34.79
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.04;   25.63;   34.87
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.05;   26.00;   35.98
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.05;   26.24;   36.70
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;1999*;    0.32;   16.35;   26.50
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2003*;    0.31;   17.07;   26.90
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2007*;    0.28;   17.85;   27.39
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2011*;    0.27;   18.54;   27.77
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2015*;    0.25;   19.12;   28.11
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2019*;    0.24;   19.69;   28.29
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2020*;    0.19;   18.60;   28.78
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2021*;    0.20;   19.95;   30.61
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2022*;    0.21;   19.14;   28.97
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Vrije tijd;Waarde;2023*;    0.22;   18.90;   28.23
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;1999*;    0.17;   17.17;   22.08
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2003*;    0.17;   17.14;   22.20
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2007*;    0.15;   16.18;   22.19
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2011*;    0.13;   16.56;   22.39
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2015*;    0.11;   16.19;   22.36
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2019*;    0.11;   16.69;   22.72
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2020*;    0.11;   14.93;   20.51
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2021*;    0.11;   15.14;   21.09
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2022*;    0.10;   15.12;   21.59
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (bestuurder);Overige reismotieven;Waarde;2023*;    0.10;   15.49;   21.91
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;1999*;    0.53;   20.21;   30.28
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2003*;    0.49;   20.39;   30.07
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2007*;    0.44;   20.46;   30.02
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2011*;    0.38;   20.89;   30.00
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2015*;    0.35;   21.13;   29.93
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2019*;    0.32;   21.55;   29.85
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2020*;    0.28;   18.34;   27.59
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2021*;    0.29;   20.13;   29.70
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2022*;    0.31;   20.13;   29.50
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Totaal;Waarde;2023*;    0.32;   20.41;   29.36
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;1999*;    0.09;   20.25;   29.55
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2003*;    0.08;   19.52;   29.07
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2007*;    0.07;   19.57;   28.91
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2011*;    0.05;   19.19;   28.48
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2015*;    0.04;   18.95;   28.05
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2019*;    0.03;   18.42;   27.63
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2020*;    0.03;   14.91;   24.27
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2021*;    0.03;   16.17;   25.45
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2022*;    0.03;   17.51;   26.89
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Van en naar het werk;Waarde;2023*;    0.03;   17.58;   27.63
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;1999*;    0.08;   11.13;   20.77
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2003*;    0.08;   11.80;   20.73
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2007*;    0.07;   12.20;   20.77
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2011*;    0.06;   12.56;   20.83
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2015*;    0.06;   12.42;   20.79
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2019*;    0.05;   13.31;   20.84
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2020*;    0.05;   10.45;   17.85
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2021*;    0.05;   11.32;   18.96
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2022*;    0.05;   12.20;   19.79
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Winkelen, boodschappen doen;Waarde;2023*;    0.06;   12.76;   20.35
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.02;   20.38;   28.64
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.02;   20.86;   28.75
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2007*;       .;       .;       .
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2011*;    0.02;   20.61;   28.97
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2015*;       .;       .;       .
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2019*;    0.02;   19.68;   29.02
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2020*;    0.02;   18.55;   26.92
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2021*;    0.02;   19.48;   27.43
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2022*;    0.02;   19.16;   28.45
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Onderwijs volgen, cursus, kinderopvang;Waarde;2023*;    0.02;   18.81;   29.02
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;1999*;    0.26;   21.03;   33.54
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2003*;    0.25;   21.97;   33.58
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2007*;    0.22;   23.02;   33.77
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2011*;    0.20;   23.76;   33.81
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2015*;    0.19;   24.54;   33.82
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2019*;    0.18;   25.11;   33.74
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2020*;    0.14;   22.44;   33.43
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2021*;    0.15;   24.80;   36.25
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2022*;    0.16;   23.96;   34.46
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Vrije tijd;Waarde;2023*;    0.17;   24.17;   33.65
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;1999*;    0.07;   27.03;   30.64
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;2003*;    0.07;   25.13;   29.51
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;2007*;    0.06;   21.19;   28.28
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;2011*;    0.05;   20.92;   27.54
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;2015*;       .;       .;       .
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;2019*;    0.04;   19.80;   26.54
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;2020*;    0.04;   17.40;   23.74
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;2021*;    0.05;   18.05;   24.71
Totaal mannen en vrouwen;18 tot 25 jaar;Auto (passagier);Overige reismotieven;Waarde;2022*;    0.04;   17.69;   25.12
